iso_week_start_date,product_id,product_name,category,location_id,ending_inventory_units,ending_inventory_cost,days_on_hand,weeks_of_supply,is_low_stock,is_overstock,stockout_risk_flag,carrying_cost_usd,sales_units,cogs,hold_flag,hold_reason
2022-01-03,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,396,3627.36,2,0.3,true,false,true,17.44,1359,12448.44,false,null
2022-01-10,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,440,4030.4,4.5,0.6,true,false,true,19.38,684,6265.44,false,null
2022-01-17,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,307,2812.12,4.3,0.6,true,false,true,13.52,499,4570.84,false,null
2022-01-24,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,272,2491.52,2.6,0.4,true,false,true,11.98,743,6805.88,false,null
2022-01-31,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,337,3086.92,3.1,0.4,true,false,true,14.84,756,6924.96,false,null
2022-02-07,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,263,2409.08,1,0.1,true,false,true,11.58,1808,16561.28,false,null
2022-02-14,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,220,2015.2,1.4,0.2,true,false,true,9.69,1109,10158.44,false,null
2022-02-21,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,428,3920.48,2.8,0.4,true,false,true,18.85,1089,9975.24,false,null
2022-02-28,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,409,3746.44,2,0.3,true,false,true,18.01,1447,13254.52,false,null
2022-03-07,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,306,2802.96,1.8,0.3,true,false,true,13.48,1169,10708.04,false,null
2022-03-14,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,0,0,0,0,true,false,true,0,1771,16222.36,false,null
