customer_id,company_name,parent_company_name,store_count,location_type,customer_type,segment,industry,region,state,city,credit_tier,annual_revenue,sales_rep_id,is_active,created_date,is_chain,is_retail,is_end_consumer,first_order_date,last_order_date,lifetime_revenue_usd,lifetime_units,lifetime_orders,lifetime_cogs_usd,fill_rate_pct,avg_order_value_usd,avg_order_frequency_days,lifetime_gross_margin_usd,on_time_delivery_pct,active_contract_count,lifetime_trade_spend_usd,lifetime_net_margin_usd,contract_attainment_pct
CUST-0003,Grainger - Oakland,Grainger,12,branch,reseller,OEM,automotive,Midwest,OH,Franklin,A,33187221.06,REP-014,true,2019-02-18,true,false,false,2021-12-23,2026-03-21,107648824.00000003,5274810,20295,66413595.16000012,100,5304.2,0.1,41235228.83999991,100,0,3467.8,41231761.03999991,null
CUST-0057,Applied Industrial - Arlington,Applied Industrial,7,branch,reseller,contractor,energy,South,FL,Clinton,B,4472467.62,REP-014,true,2018-01-31,true,false,false,2021-12-23,2026-03-21,69783440.7100001,3191236,12302,42932675.900000006,100,5672.53,0.1,26850764.81000009,100,null,null,26850764.81000009,null
CUST-0061,Motion Industries - Hudson,Motion Industries,9,branch,reseller,contractor,energy,West,WA,Springfield,B,5963939.51,REP-023,true,2019-01-26,true,false,false,2021-12-23,2026-03-21,71435208.72,3518873,13101,44727107.540000096,100,5452.65,0.1,26708101.179999903,100,0,18404.94,26689696.2399999,null
CUST-0091,The Home Depot - Chester,The Home Depot,18,branch,retail,retail,retail,Northeast,PA,Riverside,B,4704967.26,REP-019,true,2020-01-15,true,true,false,2021-12-17,2026-03-15,117853458.10000005,5910250,18430,72982874.06000003,100,6394.65,0.1,44870584.04000002,100,null,null,44870584.04000002,null
CUST-0092,The Home Depot - Springfield,The Home Depot,18,branch,retail,retail,retail,South,TN,Chester,D,12768472.18,REP-013,false,2019-08-28,true,true,false,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUST-0109,Lowe's - Lexington,Lowe's,14,branch,retail,retail,retail,West,NV,Clinton,A,273611.91,REP-015,true,2018-06-13,true,true,false,2021-12-17,2026-03-15,112377222.96999997,5677819,19804,69334262.49000007,100,5674.47,0.1,43042960.4799999,100,null,null,43042960.4799999,null
CUST-0110,Lowe's - Salem,Lowe's,14,branch,retail,retail,retail,South,AL,Fairview,A,1893200.65,REP-016,true,2020-08-19,true,true,false,2021-12-17,2026-03-15,118501329.35000004,5868282,18869,72392913.86999997,100,6280.21,0.1,46108415.480000064,100,null,null,46108415.480000064,null
CUST-0112,Ace Hardware - HQ,Ace Hardware,8,headquarters,retail,retail,retail,Midwest,IL,Oakland,A,6478275.97,REP-022,true,2018-03-15,true,true,false,2021-12-17,2026-03-15,65442171.04999989,3287869,12480,40338393.29000007,100,5243.76,0.1,25103777.75999982,100,null,null,25103777.75999982,null
CUST-0117,Ace Hardware - Georgetown,Ace Hardware,8,branch,retail,retail,retail,Northeast,CT,Georgetown,C,10309251.27,REP-015,true,2021-08-26,true,true,false,2021-12-17,2026-03-15,69156860.00000004,3208243,12441,42324723.96999991,100,5558.79,0.1,26832136.030000135,100,0,13596.11,26818539.920000136,null
CUST-0125,True Value - Madison,True Value,6,branch,retail,retail,retail,South,FL,Salem,A,1362084.35,REP-004,true,2020-01-07,true,true,false,2021-12-17,2026-03-15,58177278.96000002,3121812,12143,35968164.53000001,100,4791.01,0.1,22209114.430000015,100,null,null,22209114.430000015,null
CUST-0126,Menards - HQ,Menards,5,headquarters,retail,retail,retail,West,NV,Madison,B,43524545.81,REP-001,true,2023-09-29,true,true,false,2021-12-17,2026-03-15,73769751.78,3608620,13435,45331967.75000005,100,5490.86,0.1,28437784.02999995,100,null,null,28437784.02999995,null
CUST-0132,Harbor Freight - Oakland,Harbor Freight,4,branch,retail,retail,retail,South,TX,Auburn,B,16093094.29,REP-024,true,2021-11-25,true,true,false,2021-12-17,2026-03-15,62321915.38999996,3314263,13055,38760208.04999993,100,4773.8,0.1,23561707.340000033,100,null,null,23561707.340000033,null
CUST-0152,Lockheed Martin - HQ,Lockheed Martin,3,headquarters,end_consumer,OEM,defense,West,WA,Riverside,A,3053646.28,REP-024,true,2018-05-23,true,false,true,2021-12-10,2026-03-08,70850678.28000002,3171578,12399,42874970.419999994,100,5714.23,0.1,27975707.86000002,100,0,6343.24,27969364.620000023,null
CUST-0167,Emerson Electric - Newport Plant,Emerson Electric,2,plant,end_consumer,OEM,energy,West,OR,Riverside,C,20053047.5,REP-007,true,2024-05-29,true,false,true,2021-12-10,2026-03-08,69553612.81999998,3194791,12480,43119979.50999999,100,5573.21,0.1,26433633.309999987,100,1,12925.52,26420707.789999988,null
CUST-0215,Vance Supply,null,null,independent,end_consumer,factory,food_processing,Midwest,IA,Clinton,A,72694727.26,REP-014,true,2019-03-12,false,false,true,2021-12-10,2026-03-08,70528864.20999993,3618976,14053,43248190.519999996,100,5018.78,0.1,27280673.689999938,100,1,null,27280673.689999938,null
CUST-0224,Flynn Industrial,null,null,independent,reseller,contractor,automotive,South,SC,Riverside,A,1696396.83,REP-018,true,2021-12-24,false,false,false,2021-12-23,2026-03-21,70236474.50999978,3508261,13204,43089720.38999999,100,5319.33,0.1,27146754.11999979,100,null,null,27146754.11999979,null
CUST-0257,Ortiz Fabrication,null,null,independent,reseller,OEM,food_processing,Northeast,PA,Fairview,B,266655015.96,REP-014,true,2024-04-30,false,false,false,2021-12-23,2026-03-21,57356967.1500001,3123743,12783,35439647.549999975,100,4486.97,0.1,21917319.60000013,100,null,null,21917319.60000013,null
CUST-0260,Sullivan Tool & Die,null,null,independent,end_consumer,factory,construction,West,CO,Chester,B,79680296.73,REP-014,true,2020-10-21,false,false,true,2021-12-10,2026-03-08,62815073.44999999,2966378,11651,38497579.44999996,100,5391.39,0.1,24317494.00000003,100,0,20492.03,24297001.97000003,120.48
CUST-0261,Thornton Tool & Die,null,null,independent,reseller,factory,construction,Midwest,IN,Milton,D,815845.68,REP-012,true,2020-11-30,false,false,false,2021-12-23,2026-03-21,72284064.36999997,3191721,11943,44194527.19999994,100,6052.42,0.1,28089537.17000003,100,0,20855.66,28068681.51000003,null
CUST-0264,Xavier Fabrication,null,null,independent,end_consumer,contractor,food_processing,Northeast,NH,Burlington,D,460123.03,REP-022,true,2020-05-24,false,false,true,2021-12-10,2026-03-08,59871122.239999995,3043491,12339,37334013.13000003,100,4852.19,0.1,22537109.109999962,100,0,22311.92,22514797.18999996,null
CUST-0269,Crawford Fabrication,null,null,independent,end_consumer,contractor,food_processing,Northeast,NY,Chester,A,12571250.19,REP-008,true,2022-09-15,false,false,true,2021-12-10,2026-03-08,73570412.96000008,3341212,12916,45302023.47,100,5696.07,0.1,28268389.490000084,100,0,23724.18,28244665.310000084,93.46
CUST-0283,Quincy Industrial,null,null,independent,end_consumer,OEM,general_manufacturing,Midwest,MO,Greenville,A,6235721.59,REP-013,true,2018-11-28,false,false,true,2021-12-10,2026-03-08,67761278.09,3128491,11975,41811187.73000003,100,5658.56,0.1,25950090.359999977,100,1,9590.56,25940499.79999998,null
CUST-0291,Yoder Manufacturing,null,null,independent,end_consumer,factory,food_processing,West,CO,Auburn,B,20743221.33,REP-022,true,2023-11-27,false,false,true,2021-12-10,2026-03-08,63231799.21,3006997,12387,38630393.089999974,100,5104.69,0.1,24601406.120000027,100,0,null,24601406.120000027,93.46
