forecast_anchor_date,iso_week_start_date,horizon,product_id,customer_id,manufacturer,category,subcategory,predicted_volume
2026-03-23,2026-03-23,1,ABR-03162,CUST-0299,abrasivetech,abrasives,sanding_discs,10.602735
2026-03-23,2026-03-23,1,ABR-03163,CUST-0059,abrasivetech,abrasives,sanding_discs,2.1992283
2026-03-23,2026-03-23,3,ABR-03163,CUST-0226,abrasivetech,abrasives,sanding_discs,4.8444777
2026-03-23,2026-03-23,3,ABR-03164,CUST-0054,abrasivetech,abrasives,sanding_discs,0.1961594
2026-03-23,2026-03-23,1,ABR-03164,CUST-0063,abrasivetech,abrasives,sanding_discs,1.5769551
2026-03-23,2026-03-23,4,ABR-03165,CUST-0020,abrasivetech,abrasives,sanding_discs,13.257745
2026-03-23,2026-03-23,0,ABR-03165,CUST-0181,abrasivetech,abrasives,sanding_discs,5.211377
2026-03-23,2026-03-23,2,ABR-03165,CUST-0270,abrasivetech,abrasives,sanding_discs,4.581319
2026-03-23,2026-03-23,3,ABR-03166,CUST-0011,abrasivetech,abrasives,sanding_discs,2.484345
2026-03-23,2026-03-23,3,ABR-03167,CUST-0064,abrasivetech,abrasives,sanding_discs,3.4107654
2026-03-23,2026-03-23,3,ABR-03167,CUST-0252,abrasivetech,abrasives,sanding_discs,6.550828
2026-03-23,2026-03-23,3,ABR-03168,CUST-0107,abrasivetech,abrasives,sanding_discs,15.209907
2026-03-23,2026-03-23,2,ABR-03172,CUST-0133,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,1,ABR-03173,CUST-0177,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,0,ABR-03173,CUST-0324,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,0,ABR-03266,CUST-0014,abrasivetech,tools,hand_tools,5.287161
2026-03-23,2026-03-23,2,ABR-03162,CUST-0299,abrasivetech,abrasives,sanding_discs,10.602735
2026-03-23,2026-03-23,2,ABR-03163,CUST-0059,abrasivetech,abrasives,sanding_discs,2.1992283
2026-03-23,2026-03-23,4,ABR-03163,CUST-0226,abrasivetech,abrasives,sanding_discs,4.8444777
2026-03-23,2026-03-23,4,ABR-03164,CUST-0054,abrasivetech,abrasives,sanding_discs,0.1961594
2026-03-23,2026-03-23,2,ABR-03164,CUST-0063,abrasivetech,abrasives,sanding_discs,1.5769551
2026-03-23,2026-03-23,0,ABR-03165,CUST-0020,abrasivetech,abrasives,sanding_discs,13.257745
2026-03-23,2026-03-23,1,ABR-03165,CUST-0181,abrasivetech,abrasives,sanding_discs,5.211377
2026-03-23,2026-03-23,3,ABR-03165,CUST-0270,abrasivetech,abrasives,sanding_discs,4.581319
2026-03-23,2026-03-23,4,ABR-03166,CUST-0011,abrasivetech,abrasives,sanding_discs,2.484345
2026-03-23,2026-03-23,4,ABR-03167,CUST-0064,abrasivetech,abrasives,sanding_discs,3.4107654
2026-03-23,2026-03-23,4,ABR-03167,CUST-0252,abrasivetech,abrasives,sanding_discs,6.550828
2026-03-23,2026-03-23,4,ABR-03168,CUST-0107,abrasivetech,abrasives,sanding_discs,15.209907
2026-03-23,2026-03-23,3,ABR-03172,CUST-0133,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,2,ABR-03173,CUST-0177,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,1,ABR-03173,CUST-0324,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,1,ABR-03266,CUST-0014,abrasivetech,tools,hand_tools,5.287161
2026-03-23,2026-03-23,3,ABR-03162,CUST-0299,abrasivetech,abrasives,sanding_discs,10.602735
2026-03-23,2026-03-23,3,ABR-03163,CUST-0059,abrasivetech,abrasives,sanding_discs,2.1992283
2026-03-23,2026-03-23,0,ABR-03163,CUST-0226,abrasivetech,abrasives,sanding_discs,4.8444777
2026-03-23,2026-03-23,0,ABR-03164,CUST-0054,abrasivetech,abrasives,sanding_discs,0.1961594
2026-03-23,2026-03-23,3,ABR-03164,CUST-0063,abrasivetech,abrasives,sanding_discs,1.5769551
2026-03-23,2026-03-23,1,ABR-03165,CUST-0020,abrasivetech,abrasives,sanding_discs,13.257745
2026-03-23,2026-03-23,2,ABR-03165,CUST-0181,abrasivetech,abrasives,sanding_discs,5.211377
2026-03-23,2026-03-23,4,ABR-03165,CUST-0270,abrasivetech,abrasives,sanding_discs,4.581319
2026-03-23,2026-03-23,0,ABR-03166,CUST-0011,abrasivetech,abrasives,sanding_discs,2.484345
2026-03-23,2026-03-23,0,ABR-03167,CUST-0064,abrasivetech,abrasives,sanding_discs,3.4107654
2026-03-23,2026-03-23,0,ABR-03167,CUST-0252,abrasivetech,abrasives,sanding_discs,6.550828
2026-03-23,2026-03-23,0,ABR-03168,CUST-0107,abrasivetech,abrasives,sanding_discs,15.209907
2026-03-23,2026-03-23,4,ABR-03172,CUST-0133,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,3,ABR-03173,CUST-0177,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,2,ABR-03173,CUST-0324,abrasivetech,abrasives,sanding_discs,0
2026-03-23,2026-03-23,2,ABR-03266,CUST-0014,abrasivetech,tools,hand_tools,5.287161
